user_id,signup_date,country,age_band,acquisition_channel,device_type,risk_score,kyc_required,referred,incentive_offered
138,2025-01-03,UK,18-24,paid_social,iOS,0.475,True,False,True
139,2025-02-01,UK,35-44,referral,Android,0.592,True,True,True
140,2025-02-09,Ghana,25-34,referral,Android,0.551,True,True,True
141,2025-03-30,France,25-34,paid_search,iOS,0.513,True,False,True
142,2025-01-20,France,45-54,paid_search,Android,0.453,True,False,False
143,2025-01-25,Germany,18-24,referral,Web,0.387,True,True,True
144,2025-02-06,Nigeria,25-34,paid_social,iOS,0.526,True,False,True
145,2025-03-31,Germany,25-34,paid_social,iOS,0.465,True,False,False
146,2025-03-18,Ghana,18-24,paid_search,Android,0.834,True,False,True
147,2025-01-04,Ghana,55+,organic,iOS,0.639,True,False,False
148,2025-01-22,Germany,55+,paid_search,Android,0.329,True,False,False
149,2025-03-15,Ghana,25-34,affiliate,iOS,0.239,True,False,False
150,2025-01-06,UK,45-54,paid_search,Android,0.378,True,False,True
151,2025-03-19,Spain,18-24,organic,iOS,0.255,True,False,False
152,2025-01-26,UK,55+,organic,iOS,0.368,False,False,False
153,2025-03-24,Germany,35-44,paid_search,Android,0.275,True,False,False
154,2025-01-27,UK,18-24,paid_search,Android,0.391,True,False,True
155,2025-02-09,UK,25-34,paid_social,iOS,0.393,True,False,False
156,2025-03-01,UK,35-44,organic,Android,0.476,True,False,False
157,2025-01-12,Germany,25-34,organic,Android,0.413,True,False,False
158,2025-02-20,France,25-34,organic,iOS,0.288,True,False,False
159,2025-02-15,Germany,25-34,organic,Android,0.669,True,False,False
160,2025-03-12,Germany,18-24,referral,Web,0.523,True,True,True
161,2025-03-31,Nigeria,18-24,referral,iOS,0.352,True,True,True
162,2025-03-01,Nigeria,18-24,referral,Android,0.29,True,True,True
163,2025-02-06,UK,35-44,referral,Android,0.186,True,True,True
164,2025-02-06,Germany,25-34,organic,iOS,0.173,False,False,False
165,2025-02-07,France,25-34,referral,Android,0.639,True,True,True
166,2025-03-15,Spain,18-24,paid_search,iOS,0.619,True,False,False
167,2025-01-29,Germany,18-24,referral,Android,0.345,True,True,True
168,2025-01-16,Spain,35-44,paid_social,Android,0.696,True,False,False
169,2025-01-31,UK,18-24,paid_search,iOS,0.561,True,False,False
170,2025-01-03,Germany,35-44,organic,iOS,0.487,True,False,False
171,2025-01-10,Spain,25-34,organic,iOS,0.605,True,False,False
172,2025-01-09,France,35-44,paid_search,Android,0.561,True,False,True
173,2025-03-11,Ghana,25-34,paid_search,Web,0.478,True,False,False
174,2025-03-07,UK,35-44,affiliate,Android,0.407,True,False,True
175,2025-03-04,UK,18-24,organic,Android,0.431,True,False,True
176,2025-02-11,UK,45-54,paid_social,Android,0.161,True,False,True
177,2025-03-06,UK,25-34,paid_social,iOS,0.306,True,False,False
178,2025-01-15,UK,18-24,organic,Android,0.774,True,False,False
179,2025-03-23,France,25-34,paid_search,iOS,0.301,True,False,False
180,2025-02-15,France,18-24,paid_search,iOS,0.117,True,False,False
181,2025-03-26,Spain,25-34,paid_search,iOS,0.613,True,False,False
182,2025-01-14,Germany,35-44,organic,Web,0.495,True,False,False
183,2025-02-14,UK,35-44,organic,Android,0.505,True,False,False
184,2025-03-04,Spain,25-34,paid_search,iOS,0.422,True,False,False
185,2025-02-14,UK,55+,referral,Web,0.614,True,True,True
186,2025-02-10,Ghana,25-34,referral,Android,0.725,True,True,False
187,2025-01-15,UK,18-24,organic,Android,0.356,True,False,False
188,2025-02-04,France,35-44,paid_social,iOS,0.564,True,False,True
189,2025-01-22,Ghana,18-24,affiliate,iOS,0.651,True,False,False
190,2025-01-28,France,18-24,organic,iOS,0.346,True,False,True
191,2025-03-03,France,18-24,organic,Android,0.722,True,False,False
192,2025-02-26,Spain,25-34,organic,Android,0.651,False,False,False
193,2025-02-24,UK,25-34,organic,iOS,0.226,True,False,False
194,2025-02-02,Spain,25-34,referral,iOS,0.737,True,True,True
195,2025-03-28,Ghana,25-34,referral,Android,0.236,True,True,True
196,2025-01-08,Nigeria,35-44,paid_social,Android,0.326,True,False,False
197,2025-01-31,Germany,45-54,paid_search,iOS,0.573,True,False,True
198,2025-01-11,Germany,18-24,referral,Android,0.637,False,True,True
199,2025-01-31,Spain,18-24,organic,Web,0.468,True,False,False
200,2025-03-28,France,25-34,organic,Android,0.337,True,False,False
201,2025-02-02,UK,18-24,organic,iOS,0.403,True,False,False
202,2025-03-23,UK,25-34,referral,Android,0.382,True,True,True
203,2025-02-14,UK,25-34,paid_social,Android,0.601,True,False,False
204,2025-03-04,Germany,35-44,paid_social,Android,0.377,True,False,False
205,2025-02-11,UK,18-24,paid_social,iOS,0.333,True,False,True
206,2025-01-24,UK,35-44,organic,iOS,0.184,True,False,False
207,2025-03-10,UK,35-44,paid_search,iOS,0.343,True,False,True
208,2025-03-29,Nigeria,45-54,referral,iOS,0.429,True,True,True
209,2025-01-24,UK,25-34,referral,Android,0.247,True,True,True
210,2025-03-12,UK,35-44,paid_social,iOS,0.136,False,False,False
211,2025-01-24,Germany,35-44,organic,Android,0.626,True,False,False
212,2025-03-06,UK,18-24,affiliate,Android,0.27,True,False,False
213,2025-03-13,Nigeria,25-34,paid_search,Android,0.214,True,False,False
214,2025-02-10,Nigeria,35-44,paid_search,iOS,0.733,True,False,True
215,2025-03-08,Germany,25-34,organic,iOS,0.603,True,False,False
216,2025-01-25,Germany,25-34,organic,iOS,0.635,True,False,False
217,2025-01-08,Germany,25-34,paid_social,Web,0.541,True,False,True
218,2025-01-09,UK,35-44,paid_social,iOS,0.686,True,False,True
219,2025-02-10,UK,18-24,organic,iOS,0.609,True,False,False
220,2025-03-23,UK,25-34,organic,iOS,0.388,False,False,False
221,2025-01-12,UK,18-24,paid_social,Android,0.258,True,False,False
222,2025-02-11,France,35-44,paid_search,Android,0.219,True,False,True
223,2025-03-05,UK,35-44,paid_search,Web,0.425,True,False,True
224,2025-01-19,UK,25-34,organic,iOS,0.252,True,False,False
225,2025-03-06,Germany,25-34,referral,iOS,0.306,True,True,False
226,2025-01-28,Germany,25-34,affiliate,Android,0.423,True,False,True
227,2025-03-14,UK,25-34,paid_search,iOS,0.702,True,False,True
228,2025-02-22,UK,35-44,paid_social,iOS,0.178,False,False,False
229,2025-02-19,UK,18-24,referral,Web,0.455,False,True,False
230,2025-01-16,UK,35-44,organic,Android,0.225,True,False,False
231,2025-02-11,Ghana,35-44,referral,iOS,0.35,False,True,True
232,2025-03-19,Nigeria,45-54,paid_search,Web,0.617,True,False,True
233,2025-01-02,Germany,25-34,paid_social,iOS,0.297,True,False,False
234,2025-03-10,Germany,25-34,paid_social,iOS,0.403,True,False,False
235,2025-02-14,Spain,18-24,organic,iOS,0.475,True,False,False
236,2025-03-06,France,45-54,referral,iOS,0.576,True,True,True
237,2025-03-01,UK,35-44,paid_social,iOS,0.351,True,False,False
238,2025-02-08,UK,25-34,organic,Android,0.677,False,False,True
239,2025-01-28,Germany,35-44,paid_social,Web,0.37,True,False,True
240,2025-02-26,France,25-34,affiliate,Android,0.537,True,False,True
241,2025-01-13,UK,25-34,referral,Web,0.416,True,True,True
242,2025-02-22,UK,35-44,paid_social,iOS,0.583,True,False,True
243,2025-01-09,Germany,18-24,organic,iOS,0.815,True,False,False
244,2025-02-28,UK,55+,paid_search,iOS,0.4,True,False,True
245,2025-02-26,Germany,45-54,organic,Android,0.447,True,False,False
246,2025-01-08,Spain,55+,referral,iOS,0.372,True,True,True
247,2025-03-10,France,35-44,referral,iOS,0.345,True,True,True
248,2025-02-07,UK,25-34,referral,Web,0.324,True,True,True
249,2025-03-12,UK,25-34,organic,iOS,0.447,True,False,False
250,2025-01-04,Ghana,18-24,affiliate,Android,0.31,True,False,True
251,2025-01-17,Germany,35-44,affiliate,iOS,0.316,True,False,True
252,2025-02-14,UK,18-24,paid_social,Android,0.0,True,False,True
253,2025-01-17,UK,45-54,referral,Android,0.699,True,True,True
254,2025-01-30,Ghana,18-24,paid_search,iOS,0.746,True,False,False
255,2025-03-01,Spain,18-24,paid_search,iOS,0.567,True,False,True
256,2025-01-14,Ghana,18-24,organic,Android,0.293,True,False,False
257,2025-03-02,France,35-44,organic,Android,0.223,True,False,True
258,2025-01-10,Germany,18-24,organic,iOS,0.168,True,False,False
259,2025-01-16,Germany,18-24,paid_social,iOS,0.565,True,False,True
260,2025-02-22,UK,18-24,paid_search,iOS,0.678,True,False,False
261,2025-03-13,Spain,25-34,organic,iOS,0.48,True,False,False
262,2025-01-16,France,45-54,organic,Android,0.604,True,False,False
263,2025-01-27,UK,25-34,paid_social,iOS,0.53,True,False,False
264,2025-03-25,Ghana,25-34,affiliate,Android,0.311,True,False,False
265,2025-03-31,Germany,18-24,paid_search,Android,0.632,False,False,False
266,2025-02-22,UK,18-24,referral,Android,0.62,True,True,True
267,2025-02-10,Germany,25-34,affiliate,iOS,0.272,True,False,False
268,2025-02-01,Ghana,18-24,paid_social,Android,0.595,True,False,True
269,2025-02-25,Nigeria,18-24,paid_social,Android,0.423,False,False,False
270,2025-02-23,Germany,18-24,paid_social,iOS,0.403,True,False,False
271,2025-01-27,Nigeria,25-34,affiliate,iOS,0.52,False,False,True
272,2025-01-03,Ghana,35-44,paid_search,Android,0.515,True,False,False
273,2025-01-14,Ghana,18-24,referral,iOS,0.61,False,True,True
274,2025-03-28,Ghana,35-44,paid_search,iOS,0.297,True,False,False
275,2025-02-07,Germany,25-34,organic,Android,0.552,True,False,False
276,2025-02-13,Spain,45-54,paid_social,iOS,0.241,True,False,True
277,2025-02-12,France,18-24,referral,iOS,0.418,True,True,True
278,2025-03-12,Spain,35-44,referral,iOS,0.43,True,True,True
279,2025-01-06,UK,45-54,affiliate,iOS,0.625,True,False,True
280,2025-01-08,Spain,55+,paid_social,Android,0.452,True,False,True
281,2025-01-25,Nigeria,35-44,paid_social,iOS,0.403,True,False,True
282,2025-02-13,Germany,18-24,affiliate,iOS,0.707,True,False,False
283,2025-03-02,Nigeria,45-54,organic,Android,0.373,True,False,False
284,2025-02-14,Germany,35-44,organic,Android,0.365,True,False,False
285,2025-02-09,UK,18-24,paid_search,Android,0.112,True,False,True
286,2025-03-26,UK,18-24,paid_social,iOS,0.411,True,False,True
287,2025-01-15,Spain,45-54,paid_social,iOS,0.281,True,False,True
288,2025-02-21,France,18-24,referral,Web,0.405,True,True,True
289,2025-02-18,Germany,35-44,organic,iOS,0.493,False,False,False
290,2025-02-12,France,25-34,referral,iOS,0.255,False,True,True
291,2025-03-14,Germany,35-44,paid_social,Android,0.302,True,False,True
292,2025-01-25,Germany,18-24,affiliate,Android,0.162,True,False,False
293,2025-03-27,Ghana,35-44,paid_search,Web,0.358,True,False,False
294,2025-01-30,Spain,25-34,paid_social,iOS,0.28,True,False,False
295,2025-02-19,Spain,45-54,referral,Web,0.836,False,True,True
296,2025-02-16,France,18-24,paid_social,iOS,0.721,True,False,False
297,2025-03-18,Nigeria,18-24,organic,Android,0.692,True,False,False
298,2025-02-09,UK,18-24,organic,iOS,0.217,True,False,False
299,2025-01-26,UK,18-24,organic,Web,0.418,True,False,False
300,2025-01-02,UK,55+,paid_search,Android,0.233,True,False,True
301,2025-02-02,France,18-24,paid_social,Android,0.782,True,False,False
302,2025-03-16,France,18-24,paid_social,Android,0.6,True,False,True
303,2025-01-01,Spain,35-44,paid_social,iOS,0.261,True,False,True
304,2025-03-22,Germany,18-24,organic,Android,0.517,False,False,False
305,2025-02-18,UK,18-24,organic,iOS,0.183,True,False,False
306,2025-01-13,France,35-44,referral,Android,0.425,True,True,True
307,2025-01-28,Nigeria,25-34,referral,iOS,0.418,True,True,True
308,2025-02-19,UK,35-44,paid_social,iOS,0.583,True,False,True
309,2025-01-29,UK,35-44,paid_social,iOS,0.628,True,False,False
310,2025-01-10,UK,25-34,affiliate,Android,0.454,True,False,True
311,2025-03-01,Germany,25-34,affiliate,iOS,0.41,True,False,False
312,2025-03-02,UK,45-54,paid_social,Android,0.0,True,False,False
313,2025-01-11,Germany,25-34,paid_search,iOS,0.731,True,False,True
314,2025-01-26,France,35-44,organic,iOS,0.332,True,False,False
315,2025-01-22,Germany,25-34,paid_social,Android,0.468,False,False,False
316,2025-03-01,Germany,25-34,paid_search,iOS,0.857,False,False,False
317,2025-03-07,UK,35-44,organic,Android,0.235,False,False,True
318,2025-03-07,Nigeria,18-24,organic,iOS,0.454,True,False,False
319,2025-03-26,Germany,25-34,affiliate,Web,0.539,False,False,False
320,2025-03-11,Germany,18-24,organic,iOS,0.647,True,False,False
321,2025-01-29,UK,35-44,referral,iOS,0.45,True,True,True
322,2025-01-10,France,25-34,referral,Web,0.662,True,True,True
323,2025-02-25,Ghana,25-34,paid_social,Android,0.375,True,False,False
324,2025-03-24,UK,18-24,organic,Android,0.548,True,False,False
325,2025-03-29,UK,45-54,referral,iOS,0.525,True,True,True
326,2025-01-21,UK,25-34,paid_social,iOS,0.434,True,False,False
327,2025-01-22,France,25-34,organic,Android,0.508,True,False,False
328,2025-01-04,Nigeria,18-24,paid_social,iOS,0.293,True,False,False
329,2025-01-13,Germany,25-34,organic,iOS,0.396,True,False,False
330,2025-02-19,Germany,25-34,paid_social,Android,0.218,True,False,False
331,2025-02-19,Spain,35-44,referral,iOS,0.371,True,True,True
332,2025-02-03,Spain,35-44,paid_social,Android,0.655,True,False,False
333,2025-01-28,UK,18-24,affiliate,iOS,0.526,True,False,True
334,2025-03-16,UK,25-34,paid_search,Web,0.505,True,False,False
335,2025-02-11,Germany,18-24,referral,Android,0.162,True,True,True
336,2025-03-14,Spain,18-24,referral,Web,0.508,True,True,True
337,2025-03-28,Spain,25-34,organic,Android,0.439,True,False,True
338,2025-01-29,Spain,18-24,referral,iOS,0.547,True,True,True
339,2025-01-19,Ghana,45-54,referral,iOS,0.699,True,True,True
340,2025-03-27,UK,25-34,paid_search,iOS,0.376,True,False,False
341,2025-02-27,Germany,18-24,referral,Android,0.393,True,True,True
342,2025-01-27,UK,55+,organic,iOS,0.615,True,False,False
343,2025-02-25,Ghana,25-34,organic,Android,0.341,True,False,False
344,2025-02-16,France,18-24,organic,Android,0.466,True,False,False
345,2025-03-23,UK,25-34,paid_search,iOS,0.091,True,False,False
346,2025-01-24,UK,55+,organic,Android,0.395,True,False,False
347,2025-03-31,Spain,25-34,organic,Android,0.685,True,False,False
348,2025-03-26,Spain,25-34,affiliate,Android,0.51,True,False,False
349,2025-01-17,Spain,25-34,paid_search,iOS,0.612,True,False,True
350,2025-01-15,UK,25-34,referral,iOS,0.622,True,True,True
351,2025-02-17,Nigeria,18-24,organic,Android,0.693,True,False,False
352,2025-01-05,Spain,25-34,organic,iOS,0.388,True,False,False
353,2025-01-27,Spain,45-54,referral,Android,0.62,True,True,True
354,2025-02-09,Spain,35-44,paid_search,Web,0.855,True,False,False
355,2025-03-29,Nigeria,18-24,paid_search,Android,0.445,True,False,False
356,2025-03-31,Nigeria,25-34,affiliate,iOS,0.212,True,False,False
357,2025-01-14,France,18-24,paid_search,iOS,0.343,True,False,True
358,2025-03-22,Germany,25-34,paid_search,Web,0.534,True,False,True
359,2025-01-09,Germany,35-44,paid_social,iOS,0.151,True,False,True
360,2025-03-09,Ghana,25-34,organic,iOS,0.313,True,False,False
361,2025-03-18,France,35-44,paid_social,Android,0.391,True,False,True
362,2025-03-22,UK,25-34,paid_search,Android,0.47,True,False,True
363,2025-01-21,UK,35-44,organic,iOS,0.773,True,False,False
364,2025-03-22,Nigeria,45-54,paid_search,Android,0.574,True,False,False
365,2025-01-11,Ghana,35-44,paid_search,Android,0.25,True,False,True
366,2025-02-16,Nigeria,45-54,paid_social,iOS,1.0,True,False,True
367,2025-02-12,Germany,35-44,affiliate,iOS,0.447,True,False,False
368,2025-01-29,Spain,25-34,referral,Android,0.148,True,True,True
369,2025-01-02,Ghana,25-34,paid_search,iOS,0.263,False,False,False
370,2025-03-11,Germany,25-34,affiliate,Web,0.264,True,False,False
371,2025-01-31,UK,45-54,referral,iOS,0.207,True,True,True
372,2025-03-01,Nigeria,18-24,organic,Android,0.542,True,False,False
373,2025-02-06,UK,45-54,organic,Android,0.0,True,False,False
374,2025-02-03,France,25-34,organic,Android,0.627,True,False,False
375,2025-03-21,Spain,35-44,organic,iOS,0.597,True,False,False
376,2025-01-09,Spain,25-34,paid_search,Android,0.368,False,False,False
377,2025-03-08,UK,55+,paid_search,Web,0.615,True,False,False
378,2025-03-09,Spain,18-24,affiliate,iOS,0.253,True,False,False
379,2025-02-04,UK,25-34,paid_search,iOS,0.298,True,False,False
380,2025-01-24,Ghana,45-54,organic,iOS,0.549,True,False,True
381,2025-01-01,UK,25-34,affiliate,iOS,0.412,True,False,False
382,2025-03-26,Spain,25-34,paid_social,iOS,0.337,True,False,True
383,2025-03-27,Spain,45-54,organic,Android,0.43,True,False,False
384,2025-01-22,UK,35-44,organic,Web,0.687,True,False,False
385,2025-01-03,UK,18-24,paid_social,Web,0.68,True,False,True
386,2025-01-12,Spain,25-34,paid_search,iOS,0.527,True,False,False
387,2025-01-07,UK,18-24,paid_social,Android,0.386,True,False,False
388,2025-03-16,UK,18-24,referral,iOS,0.544,False,True,True
389,2025-03-22,Germany,25-34,paid_social,iOS,0.295,False,False,True
390,2025-01-14,Nigeria,18-24,referral,Android,0.66,True,True,True
391,2025-03-09,France,25-34,paid_social,iOS,0.621,True,False,False
392,2025-01-17,Germany,25-34,paid_social,iOS,0.798,True,False,False
393,2025-02-03,Nigeria,45-54,organic,Android,0.306,True,False,False
394,2025-02-23,Germany,25-34,paid_search,Android,0.283,True,False,True
395,2025-03-06,Germany,18-24,paid_search,Web,0.549,True,False,False
396,2025-03-20,Germany,45-54,paid_social,iOS,0.401,True,False,True
397,2025-01-05,Germany,35-44,paid_search,Android,0.63,False,False,True
398,2025-01-18,Germany,25-34,paid_social,iOS,0.687,True,False,False
399,2025-01-26,Spain,55+,paid_search,iOS,0.757,True,False,True
400,2025-01-28,UK,25-34,paid_social,Android,0.461,True,False,True
401,2025-03-31,Spain,25-34,paid_search,Android,0.608,True,False,True
402,2025-03-11,UK,25-34,referral,iOS,0.357,False,True,True
403,2025-01-29,Germany,18-24,paid_search,Android,0.489,True,False,False
404,2025-03-29,UK,35-44,paid_social,iOS,0.44,True,False,False
405,2025-02-14,France,25-34,paid_social,Web,0.431,True,False,False
406,2025-02-15,Spain,45-54,paid_search,iOS,0.778,True,False,True
407,2025-02-09,Germany,18-24,referral,Android,0.208,True,True,True
