user_id,incentive_type,incentive_cost,estimated_revenue_30d
291,welcome_bonus,8.0,0.08
295,referral_bonus,12.0,0.36
300,cashback,5.0,1.75
302,welcome_bonus,8.0,0.65
303,welcome_bonus,8.0,0.23
306,referral_bonus,12.0,0.68
307,referral_bonus,12.0,0.7
308,welcome_bonus,8.0,0.56
310,affiliate_reward,10.0,0.67
313,cashback,5.0,0.59
317,welcome_bonus,8.0,0.62
321,referral_bonus,12.0,0.45
322,referral_bonus,12.0,0.31
325,referral_bonus,12.0,0.45
331,referral_bonus,12.0,0.58
333,affiliate_reward,10.0,0.0
335,referral_bonus,12.0,0.21
336,referral_bonus,12.0,0.88
337,welcome_bonus,8.0,0.12
338,referral_bonus,12.0,1.07
339,referral_bonus,12.0,1.39
341,referral_bonus,12.0,0.6
349,cashback,5.0,0.78
350,referral_bonus,12.0,0.55
353,referral_bonus,12.0,0.78
357,cashback,5.0,0.7
358,cashback,5.0,0.2
359,welcome_bonus,8.0,1.39
361,welcome_bonus,8.0,0.29
362,cashback,5.0,1.59
365,cashback,5.0,3.81
366,welcome_bonus,8.0,0.42
368,referral_bonus,12.0,0.95
371,referral_bonus,12.0,0.48
380,welcome_bonus,8.0,1.47
382,welcome_bonus,8.0,1.07
385,welcome_bonus,8.0,0.06
388,referral_bonus,12.0,0.63
389,welcome_bonus,8.0,0.59
390,referral_bonus,12.0,2.49
394,cashback,5.0,0.78
396,welcome_bonus,8.0,0.35
397,cashback,5.0,0.47
399,cashback,5.0,0.76
400,welcome_bonus,8.0,0.1
401,cashback,5.0,0.69
402,referral_bonus,12.0,0.83
406,cashback,5.0,0.94
407,referral_bonus,12.0,0.45
409,referral_bonus,12.0,0.37
410,affiliate_reward,10.0,0.54
412,referral_bonus,12.0,0.8
413,referral_bonus,12.0,0.39
415,referral_bonus,12.0,0.37
416,welcome_bonus,8.0,0.8
418,welcome_bonus,8.0,0.47
420,welcome_bonus,8.0,0.41
423,welcome_bonus,8.0,0.88
424,cashback,5.0,0.98
427,welcome_bonus,8.0,0.7
428,cashback,5.0,0.73
431,cashback,5.0,0.36
433,cashback,5.0,1.22
434,welcome_bonus,8.0,0.69
435,welcome_bonus,8.0,0.0
436,affiliate_reward,10.0,0.56
437,welcome_bonus,8.0,0.46
438,cashback,5.0,0.76
445,welcome_bonus,8.0,0.9
447,referral_bonus,12.0,1.24
450,welcome_bonus,8.0,1.16
453,cashback,5.0,0.05
457,referral_bonus,12.0,1.06
459,welcome_bonus,8.0,0.5
462,welcome_bonus,8.0,0.86
467,affiliate_reward,10.0,0.74
468,welcome_bonus,8.0,1.0
470,referral_bonus,12.0,0.69
471,referral_bonus,12.0,0.58
472,cashback,5.0,1.34
475,affiliate_reward,10.0,0.21
477,cashback,5.0,0.43
480,welcome_bonus,8.0,0.46
481,cashback,5.0,0.17
487,welcome_bonus,8.0,1.4
490,welcome_bonus,8.0,0.31
494,welcome_bonus,8.0,0.64
499,welcome_bonus,8.0,0.59
500,referral_bonus,12.0,1.07
501,affiliate_reward,10.0,0.26
502,referral_bonus,12.0,0.66
504,referral_bonus,12.0,0.38
507,welcome_bonus,8.0,0.86
508,referral_bonus,12.0,0.56
509,referral_bonus,12.0,0.32
510,cashback,5.0,0.67
511,referral_bonus,12.0,0.88
512,cashback,5.0,0.37
513,welcome_bonus,8.0,0.48
516,cashback,5.0,0.35
517,referral_bonus,12.0,1.09
518,affiliate_reward,10.0,0.62
522,referral_bonus,12.0,0.57
523,welcome_bonus,8.0,1.48
527,referral_bonus,12.0,0.75
528,welcome_bonus,8.0,0.12
536,cashback,5.0,1.13
538,cashback,5.0,0.48
539,cashback,5.0,0.56
540,referral_bonus,12.0,0.14
547,cashback,5.0,0.37
548,referral_bonus,12.0,0.38
552,welcome_bonus,8.0,0.02
554,welcome_bonus,8.0,0.28
557,welcome_bonus,8.0,0.57
561,cashback,5.0,0.89
563,cashback,5.0,3.03
564,cashback,5.0,1.12
565,cashback,5.0,1.17
566,welcome_bonus,8.0,0.73
568,cashback,5.0,0.24
570,welcome_bonus,8.0,0.15
571,referral_bonus,12.0,0.28
574,referral_bonus,12.0,0.4
575,cashback,5.0,0.63
577,referral_bonus,12.0,0.91
578,welcome_bonus,8.0,0.61
580,referral_bonus,12.0,0.42
583,cashback,5.0,0.24
585,welcome_bonus,8.0,0.84
586,referral_bonus,12.0,2.27
588,referral_bonus,12.0,1.66
591,referral_bonus,12.0,0.83
593,cashback,5.0,1.44
596,welcome_bonus,8.0,0.45
597,welcome_bonus,8.0,0.42
598,referral_bonus,12.0,0.21
599,welcome_bonus,8.0,0.47
600,referral_bonus,12.0,0.43
601,referral_bonus,12.0,0.33
603,referral_bonus,12.0,1.21
604,referral_bonus,12.0,2.71
606,cashback,5.0,0.63
607,welcome_bonus,8.0,0.66
609,affiliate_reward,10.0,0.29
612,cashback,5.0,1.01
613,referral_bonus,12.0,0.61
615,affiliate_reward,10.0,0.34
616,affiliate_reward,10.0,0.54
617,cashback,5.0,0.25
622,welcome_bonus,8.0,0.89
627,cashback,5.0,1.12
628,referral_bonus,12.0,1.28
632,referral_bonus,12.0,0.72
634,referral_bonus,12.0,0.18
636,referral_bonus,12.0,0.54
637,welcome_bonus,8.0,0.6
638,cashback,5.0,0.8
640,welcome_bonus,8.0,0.91
642,welcome_bonus,8.0,0.44
644,welcome_bonus,8.0,0.82
645,cashback,5.0,2.63
649,welcome_bonus,8.0,0.65
650,cashback,5.0,1.74
651,referral_bonus,12.0,1.78
652,referral_bonus,12.0,0.45
655,welcome_bonus,8.0,0.33
656,referral_bonus,12.0,0.35
659,cashback,5.0,0.45
660,referral_bonus,12.0,2.63
664,referral_bonus,12.0,1.01
665,affiliate_reward,10.0,2.06
667,welcome_bonus,8.0,1.05
669,referral_bonus,12.0,1.19
672,affiliate_reward,10.0,0.34
674,affiliate_reward,10.0,1.7
676,cashback,5.0,0.12
678,welcome_bonus,8.0,0.38
679,welcome_bonus,8.0,0.04
684,cashback,5.0,0.45
687,affiliate_reward,10.0,2.26
688,referral_bonus,12.0,2.08
689,cashback,5.0,0.95
690,affiliate_reward,10.0,0.02
691,cashback,5.0,0.39
693,cashback,5.0,0.72
694,referral_bonus,12.0,2.37
695,welcome_bonus,8.0,2.68
697,affiliate_reward,10.0,0.9
699,referral_bonus,12.0,1.53
700,welcome_bonus,8.0,0.59
703,referral_bonus,12.0,0.89
710,referral_bonus,12.0,0.23
715,welcome_bonus,8.0,0.62
717,cashback,5.0,0.77
720,referral_bonus,12.0,0.06
722,referral_bonus,12.0,0.77
724,welcome_bonus,8.0,0.73
725,referral_bonus,12.0,0.14
727,welcome_bonus,8.0,0.47
728,welcome_bonus,8.0,0.58
729,referral_bonus,12.0,0.42
730,referral_bonus,12.0,1.49
731,cashback,5.0,2.78
732,referral_bonus,12.0,0.66
736,referral_bonus,12.0,0.35
737,welcome_bonus,8.0,0.6
738,cashback,5.0,1.26
739,welcome_bonus,8.0,0.29
744,cashback,5.0,0.33
746,referral_bonus,12.0,2.45
747,referral_bonus,12.0,0.92
752,welcome_bonus,8.0,0.35
754,cashback,5.0,0.23
756,referral_bonus,12.0,0.51
758,affiliate_reward,10.0,1.13
761,welcome_bonus,8.0,0.28
763,cashback,5.0,0.89
765,referral_bonus,12.0,0.36
767,referral_bonus,12.0,1.11
768,cashback,5.0,0.61
769,affiliate_reward,10.0,0.33
771,welcome_bonus,8.0,0.87
772,referral_bonus,12.0,1.51
775,welcome_bonus,8.0,0.69
777,referral_bonus,12.0,0.86
779,referral_bonus,12.0,0.61
780,referral_bonus,12.0,2.04
781,referral_bonus,12.0,0.62
782,welcome_bonus,8.0,0.19
784,affiliate_reward,10.0,0.56
785,welcome_bonus,8.0,0.6
786,welcome_bonus,8.0,0.33
787,referral_bonus,12.0,0.71
789,referral_bonus,12.0,0.57
791,referral_bonus,12.0,0.52
792,referral_bonus,12.0,2.56
793,cashback,5.0,1.34
795,referral_bonus,12.0,0.3
796,referral_bonus,12.0,0.36
799,cashback,5.0,0.59
801,affiliate_reward,10.0,0.75
803,referral_bonus,12.0,1.38
804,referral_bonus,12.0,1.71
805,welcome_bonus,8.0,0.51
807,referral_bonus,12.0,1.9
808,welcome_bonus,8.0,0.61
809,welcome_bonus,8.0,0.85
810,welcome_bonus,8.0,0.72
814,referral_bonus,12.0,2.09
815,cashback,5.0,0.6
818,referral_bonus,12.0,0.93
821,welcome_bonus,8.0,0.08
822,cashback,5.0,1.05
824,referral_bonus,12.0,0.61
827,welcome_bonus,8.0,0.31
828,welcome_bonus,8.0,0.36
829,referral_bonus,12.0,0.51
830,welcome_bonus,8.0,0.54
831,affiliate_reward,10.0,1.3
836,welcome_bonus,8.0,0.14
837,welcome_bonus,8.0,0.18
839,cashback,5.0,0.6
840,cashback,5.0,0.88
841,welcome_bonus,8.0,0.69
842,welcome_bonus,8.0,0.77
843,referral_bonus,12.0,0.53
845,referral_bonus,12.0,0.43
848,referral_bonus,12.0,0.26
849,affiliate_reward,10.0,2.03
853,referral_bonus,12.0,0.88
854,referral_bonus,12.0,0.4
857,welcome_bonus,8.0,0.58
860,welcome_bonus,8.0,0.54
863,welcome_bonus,8.0,1.02
864,cashback,5.0,0.67
866,referral_bonus,12.0,0.53
868,referral_bonus,12.0,1.43
869,cashback,5.0,0.4
870,welcome_bonus,8.0,0.86
871,affiliate_reward,10.0,0.09
873,welcome_bonus,8.0,1.11
874,referral_bonus,12.0,0.49
879,welcome_bonus,8.0,1.58
880,referral_bonus,12.0,0.41
881,referral_bonus,12.0,0.68
884,referral_bonus,12.0,2.04
885,referral_bonus,12.0,0.9
890,referral_bonus,12.0,0.82
892,cashback,5.0,1.11
894,referral_bonus,12.0,1.64
895,welcome_bonus,8.0,0.58
897,cashback,5.0,0.55
898,referral_bonus,12.0,0.52
903,welcome_bonus,8.0,0.73
904,cashback,5.0,0.58
905,cashback,5.0,0.19
906,welcome_bonus,8.0,0.15
909,welcome_bonus,8.0,0.84
910,affiliate_reward,10.0,0.35
911,referral_bonus,12.0,2.23
912,welcome_bonus,8.0,0.46
914,welcome_bonus,8.0,0.86
917,welcome_bonus,8.0,0.68
919,referral_bonus,12.0,1.99
923,welcome_bonus,8.0,0.28
927,welcome_bonus,8.0,0.42
929,welcome_bonus,8.0,0.51
933,cashback,5.0,1.13
934,cashback,5.0,0.6
935,referral_bonus,12.0,1.95
937,cashback,5.0,1.74
938,welcome_bonus,8.0,1.65
939,referral_bonus,12.0,1.25
945,welcome_bonus,8.0,0.42
948,welcome_bonus,8.0,1.2
952,referral_bonus,12.0,3.24
953,referral_bonus,12.0,2.28
954,cashback,5.0,0.73
957,welcome_bonus,8.0,0.0
958,welcome_bonus,8.0,0.96
962,referral_bonus,12.0,1.37
963,referral_bonus,12.0,0.26
966,referral_bonus,12.0,1.31
967,referral_bonus,12.0,3.78
968,cashback,5.0,0.88
974,welcome_bonus,8.0,1.45
978,welcome_bonus,8.0,0.7
981,referral_bonus,12.0,0.72
982,welcome_bonus,8.0,0.29
983,referral_bonus,12.0,0.46
986,affiliate_reward,10.0,0.35
988,referral_bonus,12.0,0.53
991,referral_bonus,12.0,0.45
994,referral_bonus,12.0,0.66
1002,affiliate_reward,10.0,0.49
1004,referral_bonus,12.0,0.32
1005,welcome_bonus,8.0,0.72
1007,affiliate_reward,10.0,0.45
1009,welcome_bonus,8.0,1.82
1010,referral_bonus,12.0,0.27
1011,referral_bonus,12.0,0.83
1013,referral_bonus,12.0,0.49
1014,affiliate_reward,10.0,0.54
1015,cashback,5.0,1.55
1017,cashback,5.0,0.93
1018,cashback,5.0,1.29
1019,cashback,5.0,1.02
1021,welcome_bonus,8.0,0.05
1031,welcome_bonus,8.0,0.68
1032,cashback,5.0,0.16
1033,welcome_bonus,8.0,0.5
1034,welcome_bonus,8.0,0.6
1038,cashback,5.0,0.67
1039,cashback,5.0,0.39
1040,affiliate_reward,10.0,0.24
1043,referral_bonus,12.0,0.9
1045,cashback,5.0,0.0
1046,welcome_bonus,8.0,1.34
1048,referral_bonus,12.0,0.56
1049,welcome_bonus,8.0,1.23
1050,cashback,5.0,0.94
1053,welcome_bonus,8.0,0.88
1055,welcome_bonus,8.0,0.44
1057,referral_bonus,12.0,0.39
1059,referral_bonus,12.0,0.49
1061,cashback,5.0,1.01
1065,cashback,5.0,1.63
1066,welcome_bonus,8.0,0.71
1068,referral_bonus,12.0,0.8
1070,referral_bonus,12.0,0.75
1072,welcome_bonus,8.0,0.89
1073,welcome_bonus,8.0,0.12
1075,referral_bonus,12.0,1.72
1076,cashback,5.0,0.1
1078,cashback,5.0,1.6
1082,welcome_bonus,8.0,0.59
1083,cashback,5.0,1.55
1085,affiliate_reward,10.0,0.61
1086,cashback,5.0,0.06
1092,referral_bonus,12.0,1.09
1093,referral_bonus,12.0,0.41
1094,cashback,5.0,0.32
1095,referral_bonus,12.0,0.43
1097,referral_bonus,12.0,2.52
1102,referral_bonus,12.0,0.58
1103,cashback,5.0,0.61
1104,cashback,5.0,0.62
1106,referral_bonus,12.0,0.8
1109,welcome_bonus,8.0,0.68
1113,affiliate_reward,10.0,0.92
1114,referral_bonus,12.0,1.56
1116,cashback,5.0,0.55
1117,referral_bonus,12.0,0.56
1118,welcome_bonus,8.0,0.56
1119,welcome_bonus,8.0,0.26
1121,referral_bonus,12.0,0.25
1127,welcome_bonus,8.0,0.56
1128,cashback,5.0,1.84
1133,referral_bonus,12.0,0.88
1137,cashback,5.0,1.08
1140,referral_bonus,12.0,0.67
1154,referral_bonus,12.0,1.9
1157,welcome_bonus,8.0,0.71
1158,affiliate_reward,10.0,0.68
1162,cashback,5.0,0.0
1164,referral_bonus,12.0,1.64
1165,welcome_bonus,8.0,0.61
1168,welcome_bonus,8.0,0.6
1169,referral_bonus,12.0,0.5
1171,cashback,5.0,0.43
1172,welcome_bonus,8.0,0.2
1174,referral_bonus,12.0,0.87
1175,welcome_bonus,8.0,0.48
1177,referral_bonus,12.0,1.16
1178,cashback,5.0,0.24
1179,welcome_bonus,8.0,0.8
1180,welcome_bonus,8.0,0.56
1188,welcome_bonus,8.0,0.52
1189,cashback,5.0,0.97
1190,referral_bonus,12.0,0.28
1191,cashback,5.0,0.41
1192,referral_bonus,12.0,0.79
1193,cashback,5.0,1.69
1195,referral_bonus,12.0,0.4
1196,cashback,5.0,0.91
1197,affiliate_reward,10.0,0.67
1199,referral_bonus,12.0,1.86
1200,cashback,5.0,0.69
1201,referral_bonus,12.0,0.66
1203,welcome_bonus,8.0,0.7
1205,referral_bonus,12.0,0.49
1209,cashback,5.0,0.29
1210,referral_bonus,12.0,0.42
1211,welcome_bonus,8.0,0.68
1213,referral_bonus,12.0,0.85
1214,cashback,5.0,1.29
1215,welcome_bonus,8.0,0.64
1217,cashback,5.0,3.78
1218,referral_bonus,12.0,0.34
1221,welcome_bonus,8.0,0.8
1230,referral_bonus,12.0,1.85
1231,welcome_bonus,8.0,0.75
1235,welcome_bonus,8.0,0.93
1240,welcome_bonus,8.0,0.26
1241,cashback,5.0,0.75
1242,affiliate_reward,10.0,0.63
1243,welcome_bonus,8.0,0.31
1246,cashback,5.0,0.34
1251,cashback,5.0,0.63
1254,welcome_bonus,8.0,0.27
1255,referral_bonus,12.0,1.05
1257,referral_bonus,12.0,0.84
1259,affiliate_reward,10.0,1.7
1260,welcome_bonus,8.0,1.47
1262,welcome_bonus,8.0,0.65
1263,cashback,5.0,0.52
1264,cashback,5.0,0.73
1266,affiliate_reward,10.0,0.77
1267,referral_bonus,12.0,0.31
1268,welcome_bonus,8.0,1.59
1269,referral_bonus,12.0,0.26
1272,cashback,5.0,1.08
1273,cashback,5.0,1.18
1274,referral_bonus,12.0,1.43
1275,referral_bonus,12.0,0.43
1276,referral_bonus,12.0,0.57
1278,cashback,5.0,0.42
1279,referral_bonus,12.0,2.83
1281,referral_bonus,12.0,0.83
1283,referral_bonus,12.0,0.25
1284,welcome_bonus,8.0,0.47
1286,welcome_bonus,8.0,0.27
1289,referral_bonus,12.0,0.35
1292,welcome_bonus,8.0,0.31
1294,welcome_bonus,8.0,1.78
1295,referral_bonus,12.0,1.9
1296,welcome_bonus,8.0,0.32
1297,referral_bonus,12.0,0.37
1298,cashback,5.0,1.67
1306,welcome_bonus,8.0,0.97
1308,welcome_bonus,8.0,0.67
1310,welcome_bonus,8.0,1.16
1313,cashback,5.0,1.46
1315,cashback,5.0,0.11
1317,referral_bonus,12.0,0.49
1321,affiliate_reward,10.0,0.12
1322,cashback,5.0,0.96
1323,cashback,5.0,0.45
1325,referral_bonus,12.0,1.48
1328,cashback,5.0,0.67
1329,welcome_bonus,8.0,0.82
1332,referral_bonus,12.0,0.84
1334,affiliate_reward,10.0,0.45
1335,referral_bonus,12.0,1.36
1336,cashback,5.0,1.46
1337,referral_bonus,12.0,1.88
1339,welcome_bonus,8.0,0.47
1342,referral_bonus,12.0,0.56
1345,welcome_bonus,8.0,0.37
1346,referral_bonus,12.0,0.12
1354,referral_bonus,12.0,0.17
1357,referral_bonus,12.0,0.83
1364,cashback,5.0,0.23
1365,welcome_bonus,8.0,0.39
1367,cashback,5.0,1.5
1371,welcome_bonus,8.0,0.74
1373,welcome_bonus,8.0,0.88
1374,referral_bonus,12.0,1.7
1375,referral_bonus,12.0,0.15
1379,welcome_bonus,8.0,0.14
1381,cashback,5.0,0.25
1383,cashback,5.0,0.68
1386,referral_bonus,12.0,0.62
1387,welcome_bonus,8.0,0.8
1388,affiliate_reward,10.0,0.94
1389,welcome_bonus,8.0,0.3
1390,affiliate_reward,10.0,0.59
1391,referral_bonus,12.0,0.32
1392,referral_bonus,12.0,0.76
1394,welcome_bonus,8.0,0.12
1395,welcome_bonus,8.0,1.02
1396,welcome_bonus,8.0,0.7
1397,referral_bonus,12.0,0.46
1398,referral_bonus,12.0,2.19
1399,referral_bonus,12.0,0.9
1401,referral_bonus,12.0,0.7
1402,referral_bonus,12.0,1.12
1403,welcome_bonus,8.0,0.15
1405,referral_bonus,12.0,0.81
1406,referral_bonus,12.0,1.14
1407,cashback,5.0,0.61
1410,welcome_bonus,8.0,0.12
1411,cashback,5.0,0.64
1412,cashback,5.0,0.42
1413,referral_bonus,12.0,0.94
1414,affiliate_reward,10.0,0.07
1416,referral_bonus,12.0,0.23
1419,welcome_bonus,8.0,0.09
1422,affiliate_reward,10.0,1.76
1425,cashback,5.0,0.56
1426,welcome_bonus,8.0,2.18
1427,welcome_bonus,8.0,0.33
1430,welcome_bonus,8.0,0.27
1433,cashback,5.0,0.31
1434,referral_bonus,12.0,0.78
1435,affiliate_reward,10.0,0.61
1436,cashback,5.0,0.61
1438,welcome_bonus,8.0,0.58
1439,referral_bonus,12.0,3.21
1443,referral_bonus,12.0,0.27
1448,welcome_bonus,8.0,0.83
1450,referral_bonus,12.0,0.62
1452,referral_bonus,12.0,0.36
1455,cashback,5.0,0.45
1457,referral_bonus,12.0,0.33
1458,welcome_bonus,8.0,0.68
1460,referral_bonus,12.0,1.37
1462,welcome_bonus,8.0,0.74
1465,welcome_bonus,8.0,1.16
1466,referral_bonus,12.0,0.48
1467,referral_bonus,12.0,1.0
1477,welcome_bonus,8.0,0.53
1478,referral_bonus,12.0,0.21
1479,referral_bonus,12.0,0.96
1480,referral_bonus,12.0,1.78
1481,cashback,5.0,0.93
1482,welcome_bonus,8.0,0.12
1483,referral_bonus,12.0,0.86
1484,cashback,5.0,0.35
1487,welcome_bonus,8.0,0.3
1494,referral_bonus,12.0,1.06
1495,affiliate_reward,10.0,0.51
1496,referral_bonus,12.0,0.34
1497,referral_bonus,12.0,0.42
1498,affiliate_reward,10.0,1.58
1500,welcome_bonus,8.0,0.43
1501,referral_bonus,12.0,1.56
1502,welcome_bonus,8.0,0.89
1506,referral_bonus,12.0,0.61
1507,welcome_bonus,8.0,0.39
1508,cashback,5.0,0.0
1510,referral_bonus,12.0,0.39
1511,referral_bonus,12.0,1.04
1512,cashback,5.0,1.23
1514,cashback,5.0,0.67
1515,referral_bonus,12.0,0.99
1516,welcome_bonus,8.0,0.71
1517,referral_bonus,12.0,0.98
1519,affiliate_reward,10.0,0.66
1523,referral_bonus,12.0,0.59
1528,welcome_bonus,8.0,0.8
1531,referral_bonus,12.0,0.49
1535,welcome_bonus,8.0,0.74
1537,referral_bonus,12.0,0.4
1538,welcome_bonus,8.0,0.51
1539,welcome_bonus,8.0,0.53
1541,referral_bonus,12.0,1.27
1543,welcome_bonus,8.0,0.53
1547,cashback,5.0,0.45
1551,cashback,5.0,0.73
1552,welcome_bonus,8.0,0.46
1554,cashback,5.0,0.39
1556,welcome_bonus,8.0,0.49
1557,cashback,5.0,0.48
1558,referral_bonus,12.0,0.9
1559,referral_bonus,12.0,1.64
1565,welcome_bonus,8.0,0.89
1569,cashback,5.0,0.22
1576,referral_bonus,12.0,0.95
1580,referral_bonus,12.0,0.69
1581,referral_bonus,12.0,0.22
1590,referral_bonus,12.0,1.39
1591,welcome_bonus,8.0,0.62
1593,referral_bonus,12.0,0.88
1594,welcome_bonus,8.0,0.48
1595,cashback,5.0,0.93
1598,cashback,5.0,0.8
1599,affiliate_reward,10.0,0.15
1600,referral_bonus,12.0,0.63
1606,referral_bonus,12.0,1.16
1608,welcome_bonus,8.0,0.53
1610,cashback,5.0,0.71
1611,welcome_bonus,8.0,1.66
1612,referral_bonus,12.0,0.29
1617,welcome_bonus,8.0,1.4
1619,welcome_bonus,8.0,0.4
1620,welcome_bonus,8.0,1.05
1621,cashback,5.0,0.5
1622,affiliate_reward,10.0,0.47
1623,referral_bonus,12.0,0.68
1624,referral_bonus,12.0,0.25
1630,referral_bonus,12.0,0.3
1633,referral_bonus,12.0,0.54
1634,affiliate_reward,10.0,1.6
1637,referral_bonus,12.0,1.28
1639,welcome_bonus,8.0,0.96
1640,cashback,5.0,0.01
1642,referral_bonus,12.0,0.39
1644,cashback,5.0,0.51
1645,referral_bonus,12.0,0.57
1646,welcome_bonus,8.0,0.56
1648,referral_bonus,12.0,2.04
1649,welcome_bonus,8.0,0.67
1651,cashback,5.0,0.19
1652,cashback,5.0,1.03
1653,affiliate_reward,10.0,0.2
1655,referral_bonus,12.0,0.33
1657,referral_bonus,12.0,1.92
1660,referral_bonus,12.0,0.71
1663,cashback,5.0,1.44
1664,welcome_bonus,8.0,0.83
1666,cashback,5.0,0.41
1667,welcome_bonus,8.0,0.65
1668,referral_bonus,12.0,0.26
1671,welcome_bonus,8.0,2.36
1672,welcome_bonus,8.0,0.6
1673,referral_bonus,12.0,1.03
1675,referral_bonus,12.0,0.36
1676,cashback,5.0,0.8
1677,welcome_bonus,8.0,2.01
1680,referral_bonus,12.0,1.37
1681,affiliate_reward,10.0,0.48
1682,cashback,5.0,0.71
1683,referral_bonus,12.0,0.94
1686,cashback,5.0,0.68
1693,welcome_bonus,8.0,0.84
1694,referral_bonus,12.0,0.83
1695,welcome_bonus,8.0,0.75
1698,welcome_bonus,8.0,0.56
1700,referral_bonus,12.0,1.43
